lga_canonical,lga_code,year,ndvi,nlr,no2,population,urbanicity_index,htn,cvd,dm,pct_unskilled,pct_semiskilled,z_ndvi,z_nlr,z_no2,z_pct_unskilled,log_pop,lga_idx,year_idx
Amuwo Odofin,4,2023,0.389853,6.100212,4.2e-05,505700.0,-0.848117531775308,10,3,10,13.793103448275861,67.81609195402298,0.8422972700824158,-0.774441310092774,-0.9276140151507344,-0.38396101645157404,13.133698887068075,3,2
Amuwo Odofin,4,2024,0.379908,6.34835,3.8e-05,524400.0,-0.8629661246417318,9,2,5,13.793103448275861,67.81609195402298,0.7370612859250943,-0.8408602982822051,-1.010976789717896,-0.38396101645157404,13.170010030871682,3,3
Amuwo Odofin,4,2025,0.320796,7.263924,3.5e-05,543100.0,-0.8169288373296788,11,5,7,13.793103448275861,67.81609195402298,0.5321328852205561,-0.8014380416873069,-1.1172155850811731,-0.38396101645157404,13.205048744022937,3,4
Apapa,5,2021,0.183825,19.19677,7.5e-05,837845.0,0.7875201407035041,0,0,5,15.384615384615385,64.1025641025641,-0.7433101407461643,1.3631421399872043,0.25610814137714366,-0.043617681063397,13.638588398155756,4,0
Apapa,5,2022,0.163297,19.725856,6.3e-05,864656.0,0.6774043270396829,2,0,1,15.384615384615385,64.1025641025641,-0.833391631039151,1.297567552881393,-0.09874620280149561,-0.043617681063397,13.670087018953955,4,1
Apapa,5,2023,0.199215,18.188823,6.1e-05,892325.0,0.5754539769124748,4,2,5,15.384615384615385,64.1025641025641,-0.7033192359956233,1.0445042015190675,-0.02146150677726654,-0.043617681063397,13.70158569497867,4,2
Apapa,5,2024,0.205452,19.979863,5.3e-05,920879.0,0.5803829078269377,6,1,2,15.384615384615385,64.1025641025641,-0.7459334462518992,1.1590048129932653,-0.16378953576435137,-0.043617681063397,13.733083927670537,4,3
Apapa,5,2025,0.164983,22.587845,5.1e-05,950347.0,0.6759559771657958,6,2,5,15.384615384615385,64.1025641025641,-1.001204416367285,1.2055353017179018,-0.17887178658779931,-0.043617681063397,13.76458246004227,4,4
Badagry,6,2021,0.494263,1.238099,2.4e-05,609590.0,-1.6903249738970283,0,0,15,9.67741935483871,77.41935483870968,1.7483870187721058,-1.5054396617192467,-1.8171482411997322,-1.2640962009769128,13.320541879020547,5,0
Badagry,6,2022,0.436076,1.227349,2.4e-05,629097.0,-1.6601942181948808,2,2,4,9.67741935483871,77.41935483870968,1.6670880544176732,-1.5031475488062274,-1.810347051360742,-1.2640962009769128,13.352040736829535,5,1
Badagry,6,2023,0.48518,1.212272,2.4e-05,649228.0,-1.6370543590552344,5,3,9,9.67741935483871,77.41935483870968,1.615170383915446,-1.5099184070088698,-1.7860742862413879,-1.2640962009769128,13.383539243698662,5,2
Badagry,6,2024,0.491427,1.31464,2.3e-05,670003.0,-1.7075211303153843,1,4,2,9.67741935483871,77.41935483870968,1.6850486841094279,-1.579350663165285,-1.8581640436714406,-1.2640962009769128,13.415037468969064,5,3
Badagry,6,2025,0.444685,1.44889,2.4e-05,691443.0,-1.6922232154981562,6,8,5,9.67741935483871,77.41935483870968,1.7513098791582633,-1.5630328207908382,-1.7623269465453673,-1.2640962009769128,13.446535997188366,5,4
Epe,7,2021,0.442379,0.746987,3.2e-05,519102.0,-1.4692544672556478,0,0,1,15.789473684210526,73.68421052631578,1.331945682903282,-1.5838861651269684,-1.4919315537366928,0.04296088671078809,13.15985567463009,6,0
Epe,7,2022,0.386382,0.765038,3.1e-05,535713.0,-1.4292792735833266,1,0,1,15.789473684210526,73.68421052631578,1.2115587156889167,-1.5731424624160826,-1.50313664264498,0.04296088671078809,13.1913538488884,6,1
Epe,7,2023,0.447791,0.662031,3.2e-05,552856.0,-1.4364278830136294,3,2,1,15.789473684210526,73.68421052631578,1.3120353555068822,-1.5927119055551306,-1.4045363879788753,0.04296088671078809,13.222852848765053,6,2
Epe,7,2024,0.439097,1.537345,3.2e-05,570547.0,-1.3789125347845552,3,1,0,15.789473684210526,73.68421052631578,1.2402080690843096,-1.546677843970042,-1.3498516912993141,0.04296088671078809,13.254350828764697,6,3
Epe,7,2025,0.374632,1.763738,3.4e-05,588804.0,-1.2531952852328196,2,4,1,15.789473684210526,73.68421052631578,1.0619265928590906,-1.5217971903523595,-1.1758620724870088,0.04296088671078809,13.28584863985199,6,4
Eti Osa,8,2021,0.25553,14.763909,5.5e-05,1578528.0,0.0886382251061852,0,0,22,15.025906735751295,59.58549222797927,-0.16777768394880857,0.6550705686502016,-0.5569335772804545,-0.12032718929855608,14.272003325182062,7,0
Eti Osa,8,2022,0.240273,16.140546,5.3e-05,1629309.0,0.1149673900045525,6,1,18,15.025906735751295,59.58549222797927,-0.1277767403484291,0.754743644917813,-0.5376182152525845,-0.12032718929855608,14.303666556520385,7,1
Eti Osa,8,2023,0.264678,17.13609,4.9e-05,1681735.0,0.1549683329132218,15,10,19,15.025906735751295,59.58549222797927,-0.17257146620478045,0.8861018867059207,-0.5937683541710357,-0.12032718929855608,14.335336556567563,7,2
Eti Osa,8,2024,0.279544,17.970058,4.8e-05,1735851.0,0.1780213808523116,24,13,5,15.025906735751295,59.58549222797927,-0.1161010203309918,0.8641484093081427,-0.44618528708219957,-0.12032718929855608,14.367008341025784,7,3
Eti Osa,8,2025,0.221926,20.194928,4.6e-05,1791698.0,0.2869553066662917,41,20,6,15.025906735751295,59.58549222797927,-0.4408350892616105,0.8921350543542431,-0.47210422361697857,-0.12032718929855608,14.398674331529064,7,4
Ibeju Lekki,9,2021,0.540523,2.852667,2.9e-05,159659.0,-1.6603721866232124,0,0,1,0.0,75.0,2.119687924586842,-1.2475408237474623,-1.6138878115353326,-3.3336032564824394,11.980795569870642,8,0
Ibeju Lekki,9,2022,0.470701,2.521846,2.9e-05,164768.0,-1.6275178191233666,1,0,0,0.0,75.0,1.9844845882745406,-1.3071578239603616,-1.5909110451351978,-3.3336032564824394,12.012293702845868,8,1
