disease,scenario,lga_canonical,cases_status_quo_mean,cases_scenario_mean,cases_avoided_median,cases_avoided_mean,cases_avoided_2.5,cases_avoided_97.5,P_avoided_gt_0,significant_95
htn,no2_minus_20,Agege,16.246422723514982,11.474192545600706,4.141188261176761,4.772230177914277,0.6369837571994138,12.683886141658043,0.996,yes
htn,no2_minus_20,Ajeromi/Ifelodun,0.15058487905597442,0.12292819091908411,0.019110833576909583,0.02765668813689032,0.0011628961998102368,0.117227490717482,0.996,yes
htn,no2_minus_20,Alimosho,56.4086937854494,44.1458510893812,10.420177273372524,12.262842696068207,1.6815229836036154,30.674856230561,0.996,yes
htn,no2_minus_20,Amuwo Odofin,3.1680792849498514,2.6808738414262843,0.41926129267322587,0.4872054435235667,0.06145230930231097,1.299016528973398,0.996,yes
htn,no2_minus_20,Apapa,1.9215916425278055,1.5135417792958488,0.34830786718866297,0.4080498632319567,0.05064523676047653,1.0845695229265564,0.996,yes
htn,no2_minus_20,Badagry,1.3511972004078496,1.2291357080745358,0.10254878461538885,0.1220614923333137,0.014811490626145807,0.3363524669736422,0.996,yes
htn,no2_minus_20,Epe,0.8884699038114446,0.7825772581912488,0.08700265105311983,0.10589264562019582,0.013111963768964445,0.3148271345448083,0.996,yes
htn,no2_minus_20,Eti Osa,8.045648177478807,6.642802171472718,1.2205491459039204,1.4028460060060879,0.20888761991566349,3.4333364796899954,0.996,yes
htn,no2_minus_20,Ibeju Lekki,0.2345107528262688,0.21060451332848862,0.017429543263264166,0.023906239497780195,0.0021823391899903517,0.08276179511413591,0.996,yes
htn,no2_minus_20,Ifako/Ijaye,28.020465620803503,21.113186947061827,6.071788641758979,6.90727867374167,1.0161391962494308,17.013709758333615,0.996,yes
htn,no2_minus_20,Ikeja,29.01520838454784,20.520923408516243,7.5036659316218,8.494284976031595,1.2952513769086296,21.05177733553286,0.996,yes
htn,no2_minus_20,Ikorodu,26.073294319534057,21.015384717853117,4.391164688100215,5.0579096016809375,0.7004911108799708,12.381198051202592,0.996,yes
htn,no2_minus_20,Kosofe,19.47803486694424,14.052810694147443,4.777826879998314,5.425224172796795,0.7093495968619112,13.580062899482051,0.996,yes
htn,no2_minus_20,Lagos Island,1.267391186270817,0.9897084312727925,0.2288779679783906,0.2776827549980243,0.033022497287928616,0.7316653672446914,0.996,yes
htn,no2_minus_20,Lagos Mainland,3.7545242133356824,2.7830011740694687,0.8212605479655964,0.9715230392662135,0.12853199939703797,2.5449884817523802,0.996,yes
htn,no2_minus_20,Mushin,5.62614479527368,4.00004794454763,1.372525942904741,1.626096850726051,0.23291985682873506,4.202087109553431,0.996,yes
htn,no2_minus_20,Ojo,12.714324382633926,11.061783784003794,1.382878393497279,1.6525405986301331,0.2072104702532378,4.2169355511796995,0.996,yes
htn,no2_minus_20,Oshodi/Isolo,15.819828237543549,11.81809661643696,3.4779611468976466,4.00173162110659,0.5941833593663571,10.110991788316804,0.996,yes
htn,no2_minus_20,Shomolu,7.907941817708621,5.552000770717383,2.025338832325631,2.355941046991238,0.32399766267866353,6.087410346960782,0.996,yes
htn,no2_minus_20,Surulere,6.494522447338373,4.980598571590778,1.3363085222837048,1.5139238757475957,0.21460014191009677,3.865418099968931,0.996,yes
htn,no2_minus_20,LAGOS STATE,244.58687862195669,186.69005015790754,50.09965019115023,57.896828464049115,8.155202242924346,145.90197132315035,0.996,yes
htn,no2_minus_50,Agege,16.246422723514982,7.059139021706222,8.041266793839053,9.187283701808761,1.4945252601667278,22.893773634491865,0.996,yes
htn,no2_minus_50,Ajeromi/Ifelodun,0.15058487905597442,0.09173326578423856,0.04156962668825851,0.05885161327173589,0.0027716307332059193,0.2567690108062448,0.996,yes
htn,no2_minus_50,Alimosho,56.4086937854494,31.115234938235016,22.10455363684225,25.293458847214396,4.083469867410113,60.635065074106095,0.996,yes
htn,no2_minus_50,Amuwo Odofin,3.1680792849498514,2.103941255286039,0.932049608159232,1.064138029663812,0.15021795009915165,2.752708250166934,0.996,yes
htn,no2_minus_50,Apapa,1.9215916425278055,1.0765042873448476,0.7274638518901511,0.845087355182958,0.12303854843904845,2.1197592529779183,0.996,yes
htn,no2_minus_50,Badagry,1.3511972004078496,1.069273764348194,0.24042364033612534,0.28192343605965564,0.03667523749269866,0.7616430599605062,0.996,yes
htn,no2_minus_50,Epe,0.8884699038114446,0.6500308199373792,0.1975644038427018,0.23843908387406537,0.03201414350301256,0.7021648272809592,0.996,yes
htn,no2_minus_50,Eti Osa,8.045648177478807,5.040208016008868,2.6351761467785177,3.005440161469938,0.501604199706067,7.115634785802388,0.996,yes
htn,no2_minus_50,Ibeju Lekki,0.2345107528262688,0.1798132437255897,0.040056464598810446,0.05469750910067912,0.005125715972184393,0.187288593391196,0.996,yes
htn,no2_minus_50,Ifako/Ijaye,28.020465620803503,14.149279343658655,12.351908551538784,13.871186277144842,2.4109478617847255,33.01413620477563,0.996,yes
htn,no2_minus_50,Ikeja,29.01520838454784,12.664916072342978,14.60939242055549,16.350292312204864,3.083707958419806,39.59803942302646,0.996,yes
